startDate,endDate,duration_minutes,totalDistance_miles,totalEnergyBurned_cal,sourceName,sourceVersion,device
2023-10-16 14:08:33 -0700,2023-10-16 14:57:32 -0700,48.99237631758054,11.8938,420.099,JENNIFER ’s Apple Watch,10.0,"<<HKDevice: 0x8150a9e50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.0, creation date:2023-09-01 22:32:59 +0000>"
2023-10-16 16:55:47 -0700,2023-10-16 17:46:11 -0700,50.40321254928907,11.8145,416.826,JENNIFER ’s Apple Watch,10.0,"<<HKDevice: 0x8150a9e50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.0, creation date:2023-09-01 22:32:59 +0000>"
2023-10-18 08:42:33 -0700,2023-10-18 09:28:51 -0700,46.29972703258196,11.8897,250.862,JENNIFER ’s Apple Watch,10.0.2,"<<HKDevice: 0x8150a8d20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.0.2, creation date:2023-10-17 01:44:33 +0000>"
2023-10-18 18:11:39 -0700,2023-10-18 18:57:10 -0700,45.52487846811612,11.501,200.5,JENNIFER ’s Apple Watch,10.0.2,"<<HKDevice: 0x8150a8d20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.0.2, creation date:2023-10-17 01:44:33 +0000>"
2023-10-21 08:39:27 -0700,2023-10-21 08:46:57 -0700,7.501311151186625,1.76709,42.2763,JENNIFER ’s Apple Watch,10.0.2,"<<HKDevice: 0x8150a8d20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.0.2, creation date:2023-10-17 01:44:33 +0000>"
2023-10-21 09:35:33 -0700,2023-10-21 09:47:02 -0700,11.47531121770541,1.95806,52.6588,JENNIFER ’s Apple Watch,10.0.2,"<<HKDevice: 0x8150a8d20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.0.2, creation date:2023-10-17 01:44:33 +0000>"
2023-10-23 09:52:26 -0700,2023-10-23 10:39:23 -0700,46.95281556646029,11.2572,216.403,JENNIFER ’s Apple Watch,10.0.2,"<<HKDevice: 0x8150a8d20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.0.2, creation date:2023-10-17 01:44:33 +0000>"
2023-10-25 09:14:25 -0700,2023-10-25 10:02:27 -0700,48.03884538213412,11.8935,212.395,JENNIFER ’s Apple Watch,10.0.2,"<<HKDevice: 0x8150a8d20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.0.2, creation date:2023-10-17 01:44:33 +0000>"
2023-10-25 18:32:41 -0700,2023-10-25 19:27:44 -0700,55.04932845036189,11.8666,195.272,JENNIFER ’s Apple Watch,10.0.2,"<<HKDevice: 0x8150a8d20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.0.2, creation date:2023-10-17 01:44:33 +0000>"
2023-11-06 10:18:17 -0700,2023-11-06 11:01:56 -0700,43.6591849009196,11.6324,195.738,JENNIFER ’s Apple Watch,10.1,"<<HKDevice: 0x8150aab20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.1, creation date:2023-10-28 04:44:24 +0000>"
2023-11-08 09:58:25 -0700,2023-11-08 10:47:15 -0700,48.82370081543922,11.8991,192.095,JENNIFER ’s Apple Watch,10.1.1,"<<HKDevice: 0x813585270>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.1.1, creation date:2023-11-08 16:18:24 +0000>"
2023-11-08 18:51:37 -0700,2023-11-08 19:24:15 -0700,32.63675906459491,6.2536,155.273,JENNIFER ’s Apple Watch,10.1.1,"<<HKDevice: 0x813585270>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.1.1, creation date:2023-11-08 16:18:24 +0000>"
2023-11-11 10:09:01 -0700,2023-11-11 10:36:22 -0700,27.3466988325119,2.04297,40.3925,JENNIFER ’s Apple Watch,10.1.1,"<<HKDevice: 0x813585270>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.1.1, creation date:2023-11-08 16:18:24 +0000>"
2023-11-11 11:20:47 -0700,2023-11-11 11:30:39 -0700,9.880170333385468,1.84045,37.195,JENNIFER ’s Apple Watch,10.1.1,"<<HKDevice: 0x813585270>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.1.1, creation date:2023-11-08 16:18:24 +0000>"
2023-11-15 10:11:21 -0700,2023-11-15 10:59:40 -0700,48.30296335021655,11.8766,181.597,JENNIFER ’s Apple Watch,10.1.1,"<<HKDevice: 0x813585270>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,3, software:10.1.1, creation date:2023-11-08 16:18:24 +0000>"
